"RucProveedor","CodProducto","Producto","UnidaMedidaCompra","CostoCaja"
"20100035121","800494",MIMASKOT ADULTOS RAZA PEQUENA 15KG,BOLSA,95.088000
"20100035121","800820",MACA AVENA 3 OSITOS 12X270GR,BOLSA,24.924000
"20100035121","800892",ZEUS CACHORROS 8X2KG,BOLSA,67.890615
"20100035121","800986",GOMAS GUSANOS ACIDOS 12X90GR,CAJA,19.314667
"20100035121","800498",MIMASKOT CACHORROS RZ MED-GRAN 15KG,BOLSA,95.090000
"20100035121","800658",AVENA CANELA Y CLAVO 2V 24X100 GR.,BOLSA,21.644545
"20100035121","800650",GOMAS AMBROSITO 12X90GR,CAJA,19.314590
"20100035121","800493",MIMASKOT ADULTOS RAZA PEQUENA 4X3KG,BOLSA,80.900000
"20100035121","800881",GALLETA AGUA LINE 21X200 GR.,CAJA,50.382000
"20100035121","800891",PANETON PASQUALINO BOLSA 6 X 800GR,CAJA,90.855242
"20100035121","800982",CHUPETIN COLORADO MARACUYA25X25X17GR,CAJA,138.914000
"20100035121","800992",AVENA PREM CLASICA 3OSITOS 12X250 GR.,BOLSA,24.420000
"20100035121","800544",Harina el Molino Especial Papel 50 KG,BOLSA,111.969522
"20100035121","800659",PANETON TODINNITO CAJA 48X85GR,CAJA,155.487333
"20100035121","800884",WAFER NIK FRESA 12X6X27 GR.,CAJA,34.574400
"20100035121","800523",PREMEZCLA KEKE DE NARANJA 6X450 GRS,CAJA,27.106667
"20100035121","800889",WAFER NIK VAINILLA 6X6X72 GR.,CAJA,36.192273
"20100035121","800980",CHUPETIN COLORADO TUTTI 25X25X17 GR.,CAJA,144.555000
"20100035121","800987",GOMAS GUSANOS 12X90GR,CAJA,19.314667
"20100035121","801030",MOLITALIA LETRAS 09 20X250 GR,BOLSA,25.856154
"20100035121","800574",MOLITALIA TORNILLO FAMILIAR 16X500G,BOLSA,38.096667
"20100035121","800886",WAFER NIK VAINILLA 12X6X27GR,CAJA,34.574444
"20100035121","800887",WAFER NIK FRESA 6X6X72 GR.,CAJA,36.192000
"20100035121","800570",Semola Molitalia 20X200 GR,BOLSA,26.146667
"20100035121","801024",MOLITALIA  FUSILLI TRICOLORI 20X250G,BOLSA,32.288214
"20100035121","801000",MOLITALIA MACARRON 20X250 GR,BOLSA,25.856125
"20100035121","801009",MOLITALIA CODO MED RAY 88 20X250 GR,BOLSA,25.856000
"20100035121","801158",BARRA CEREAL BAR MANI 8X12X21GR,CAJA,66.635000
"20100035121","800654",GOMAS LOOP 12X90GR,CAJA,19.314727
"20100035121","800981",CHUPETIN COLORADO SURTI 25X25X17 GR,CAJA,144.550000
"20100035121","800888",WAFER NIK CHOCOLATE 6X6X72 GR.,CAJA,36.191786
"20100035121","800596",BIZCOCHO CHOCMAN BLACK 14X6X29 GR.,CAJA,43.373333
"20100035121","801144",FANNY FILETE ATUN EN AGUA 48X140 GR,CAJA,217.903333
"20100035121","801159",BARRA CEREAL BAR ALM 8X12X21GR,CAJA,66.650000
"20100035121","801017",MOLITALIA CANUTO 65 20X250 GR,BOLSA,25.856667
"20100035121","801172",QUINUA AVENA 3 OSITOS 6 X 900 GR.,BOLSA,43.957500
"20100035121","800828",AVENA 3 OSITOS GRANEL 5 KG,BOLSA,30.921000
"20100035121","801001",MOLITALIA SPAGHETTI 32 20X500 GR,BOLSA,51.705250
"20100035121","800895",ZEUS ADULTO 8X2KG,BOLSA,62.933462
"20100035121","800653",GOMAS FLIPPY 12X90GR,CAJA,19.314500
"20100035121","801201",MINI COSTA MINIONS CAJA 48X80 GR.,CAJA,156.732333
"20100035121","801199",PANETON COSTA BOLSA 6X800G,CAJA,98.310600
"20100035121","801133",MOLITALIA LASAGNA LISTA NUEVA 24X350GR,CAJA,154.378900
"20100035121","801173",AVENA PREMIUM 3 OSITOS 6 X 900 GR,BOLSA,41.805714
"20100035121","800984",CHUPETE PIN POP SURTIDO 16X24X17 GR.,CAJA,88.905000
"20100035121","801004",MOLITALIA LINGUINE 20X500 GR,BOLSA,51.706000
"20100035121","801003",MOLITALIA CABELLO ANGEL  40X250 GR,BOLSA,51.706667
"20100035121","800771",CEREALBAR CHIPS 8X12X21 GR.,CAJA,44.295000
"20100035121","801206",COSTA VIZZIO MIX 12X122 GR,CAJA,88.053000
"20100035121","801202",PANETON CIOCCOLATO CAJA 12X80G,CAJA,38.870000
"20100035121","801177",TODINNO CAJA 6x900GR + TODINNITO 6x85GR,CAJA,144.689688
"20100035121","801247",GRETEL MANJAR 16X6X32GR,CAJA,57.479667
"20100035121","800991",AVENA CHOCOLATE 3 OSITOS 12 X180 GR.,BOLSA,20.704533
"20100035121","801027",MOLITALIA PASTINA 01 20X250 GR,BOLSA,25.856000
"20100035121","801015",MOLITALIA TORNILLO 76 20X250 GR,BOLSA,25.856000
"20100035121","800885",WAFER NIK CHOCOLATE 12X6X27 GR.,CAJA,34.574667
"20100035121","801208",COSTA VIZZIO BITTER  60 X 69 GR.,CAJA,218.993333
"20100035121","801213",GALLET CHOCODONUTS CRUNCH 14X6X36 GR.,CAJA,51.032400
"20100035121","801283",NIK BANADO 12X6X34 GR.,CAJA,48.042500
"20100035121","801260",MOLITALIA SPAGHETTI 12 X 950 GR.,BOLSA,58.342500
"20100035121","801002",MOLITALIA TALLARIN 42 20X500 GR,BOLSA,51.705167
"20100035121","801113",POMAROLA SALSA CLASICA 12X290 GR.,CAJA,26.790769
"20100035121","801018",MOLITALIA RIGATONI 75 20X250 GR,BOLSA,25.856667
"20100035121","800897",ZEUS ADULTO 18KG,BOLSA,70.825000
"20100035121","801259",BIZCOCHO MINI CHOCMAN 12X20X21GR.,CAJA,91.826000
"20100035121","801215",GRAN CEREAL CACAO 16X6X36 GR.,CAJA,45.473333
"20100035121","801290",FANNY MERMELADA FRESA BARRIL 6X950 GR,CAJA,59.495500
"20100035121","801292",FANNY DELI FRESA BARRIL  6 X 950 GR.,CAJA,54.096667
"20100035121","801142",MERMELADA FRESA SAC FANNY 9X12X90GR,CAJA,128.910000
