"RucProveedor","CodProducto","CodProducto2","CodProducto3","Producto","UnidaMedidaCompra","FactorVenta","FactorConversion","PesoUnitario","PesoCaja","CostoCaja"
"20514584789",B1060670,"","","017-BONIF. MONTERREY PERU SACHET 4-50X5G",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","02514486","","","017- TAZA METALICO SELLO ROJO",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789",WI100103,"","","017-DULFINA AZUCAR RUBIA X 1 KG",UNIDAD,1.0000,1.0000,1.0000000000000000000,1.0000,
"20514584789","01042786","","","017-GLINA.MONTBLANC BAR BITTER 73% 30UX190G",CAJA,30.0000,30.0000,0.0000000000000000000,0.0000,
"20514584789",BF044312,"","","017-BONIF GLINA. CHIN CHIN BOL CN 24DP X24U X16G",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01033041","","","017-GLINA.MONTBLANC BAR ALMENDRAS 44% 190G",CAJA,26.0000,26.0000,0.0000000000000000000,0.0000,
"20514584789","11038130","","","017-GLINA. WINTERS KREMANI 12DISPX6PLEGX42G PE",CAJA,12.0000,12.0000,0.0000000000000000000,0.0000,
"20514584789","01010070","","","017-GLINA. FOCHIS MANI 14 BSX1KG",CAJA,14.0000,14.0000,0.0000000000000000000,0.0000,
"20514584789","02003495","","","017-CAFE COLCAFE POLVO ST CJ.24 FCO X 85G EC",CAJA,24.0000,24.0000,0.0900000000000000000,2.0400,188.4679920000
"20514584789","01033370","","","017-CAFE MONTERREY LATA 12UNIDX190GR",CAJA,12.0000,12.0000,0.0000000000000000000,0.0000,138.7749960000
"20514584789","01032134","","","017-CAFE COLCAFE GRANULADO FCO 12X170G EXP",CAJA,12.0000,12.0000,0.6300000000000000000,7.6000,217.7799960000
"20514584789","01033943","","","017-COB. WINTERS LAU.BITTER 16UNDX600G",CAJA,16.0000,16.0000,0.0000000000000000000,0.0000,115.8023360000
"20514584789","01034166","","","017-ZUKO MANZANA 2L 8DISPX12UNDX15G",CAJA,8.0000,8.0000,0.0000000000000000000,0.0000,69.6440000000
